Размер;"Категория товара";Коллекция;"Вес изделия в упаковке";Бренд;"Страна производства";Линейка;Артикул;Размер;"Степень теплоты";"Степень поддержки";"Размер наволочек";"Размер пододеяльника";"Размер простыни";"Тип простыни";Высота;Наполнитель;"Наполнитель чехла";"Наполнитель ядра";"Вес наполнителя";"Вес наполнителя чехла";"Вес наполнителя ядра";Ткань;"Состав ткани";"Тип застежки";"Тип застежки наволочки";"Тип застежки пододеяльника";"Тип крепления";"Тип стежки";Окантовка;Упаковка;"Тип упаковки";"Количество в упаковке";Материал;Плотность;ШтрихКод;Производитель;Цвет;"Ткань верха";"Ткань низ";Состав;Номенклатура;Количество;Цена;Фото;Описание
;"Комплект постельного белья";;;СайлиД;Китай;;Сайлид-L-2-7;Двуспальное;;;"50х70 (2шт.)+70х70 (2шт.)";180х215;220х250;Обычная;;;;;;;;Сатин;"100% хлопок";;Прорезь(запах);Молния;;;;"Квадратная ПВХ";;;;;2000925514819;;;;;;"L-7 КПБ 2сп сатин Однотонный ""САЙЛИД""";2;2415;http://alvitek.com.ru/upload/iblock/347/347c443bdd7c5df6ee06671988567a13.jpeg;
;"Комплект постельного белья";;;СайлиД;Китай;;Сайлид-L-2-8;Двуспальное;;;"50х70 (2шт.)+70х70 (2шт.)";180х215;220х250;Обычная;;;;;;;;Сатин;"100% хлопок";;Прорезь(запах);Молния;;;;"Квадратная ПВХ";;;;;2000925514826;;;;;;"L-8 КПБ 2сп сатин Однотонный ""САЙЛИД""";2;2415;http://alvitek.com.ru/upload/iblock/94d/94da70e078896fdb4cb1128e80ad7fe5.jpeg;
;"Комплект постельного белья";;;СайлиД;Китай;;Сайлид-L-2-9;Двуспальное;;;"50х70 (2шт.)+70х70 (2шт.)";180х215;220х250;Обычная;;;;;;;;Сатин;"100% хлопок";;Прорезь(запах);Молния;;;;"Квадратная ПВХ";;;;;2000925514833;;;;;;"L-9 КПБ 2сп сатин Однотонный ""САЙЛИД""";2;2415;http://alvitek.com.ru/upload/iblock/1b1/1b191f5d4331191333d5e07e09cd1ca4.jpeg;
;"Комплект постельного белья";;;СайлиД;Китай;;Сайлид-L-2-10;Двуспальное;;;"50х70 (2шт.)+70х70 (2шт.)";180х215;220х250;Обычная;;;;;;;;Сатин;"100% хлопок";;Прорезь(запах);Молния;;;;"Квадратная ПВХ";;;;;2000925514727;;;;;;"L- 10 КПБ 2сп сатин Однотонный ""САЙЛИД""";2;2415;http://alvitek.com.ru/upload/iblock/c09/c09a8cea7227da974a118b80a3c0b1c7.jpeg;
;"Комплект постельного белья";;;СайлиД;Китай;;Сайлид-L-2-11;Двуспальное;;;"50х70 (2шт.)+70х70 (2шт.)";180х215;220х250;Обычная;;;;;;;;Сатин;"100% хлопок";;Прорезь(запах);Молния;;;;"Квадратная ПВХ";;;;;2000925514734;;;;;;"L- 11 КПБ 2сп сатин Однотонный ""САЙЛИД""";4;2415;http://alvitek.com.ru/upload/iblock/5b0/5b0a501f13d73a76cf73c553adf485db.jpeg;
;"Комплект постельного белья";;;СайлиД;Китай;;Сайлид-L-евро-2;Евро;;;"50х70 (2шт.)+70х70 (2шт.)";200х220;230х250;Обычная;;;;;;;;Сатин;"100% хлопок";;Прорезь(запах);Молния;;;;"Квадратная ПВХ";;;;;2000925514888;;;;;;"L-2 КПБ Евро сатин Однотонный ""САЙЛИД""";1;2724;http://alvitek.com.ru/upload/iblock/0a5/0a5d0f4099542ba498a9ff7a037bce7d.jpeg;
;"Одеяло байковое";;;Ермолино;Россия;;"ОБ-215х150 5772ВЖ-бежевое";150х215;;;;;;;;;;;;;;;;;;;;;;Пакет;;;;470г/м;2000925531960;;Голубой;;;"75% х/б +25% вискоза";"Бежевое Байковое жаккард 215х150 арт. 5772ВЖ  75% х/б +25% вискоза  Ермолино одеяло";48;653;http://alvitek.com.ru/upload/iblock/38f/38f52326566937e16e4d3c00503bda20.jpeg;"Одеяло ""Байковые"", 75% х/б +25% вискоза"
;"Одеяло байковое";;;Ермолино;Россия;;"ОБ-215х150 5772ВЖК-темно";150х215;;;;;;;;;;;;;;;;;;;;;;Пакет;;;;470г/м;2000925531953;;Абрикосовый;;;"100% хлопок";"Темно-Серое Ажур Байковое жаккард 215х150 100% х/б арт. 5772ВЖК Ермолино одеяло";9;710;http://alvitek.com.ru/upload/iblock/8a8/8a82aa84bb2c5b9dad12409b3eeb0758.jpeg;"Одеяло ""Байковые"", хлопок - 100%"
;"Одеяло байковое";;;Ермолино;Россия;;"ОБ-100х140 57-5ЕТОЖ-беж";100х140;;;;;;;;;;;;;;;;;;;;;;Пакет;;;;470г/м;2000925531922;;Бирюзовый;;;"90% х/б+10%ПАН";"Бежевое Байковое  100х140  арт. 57-5ЕТОЖ 90% х/б  Ермолино одеяло";1;365;http://alvitek.com.ru/upload/iblock/056/056bad5d93571abed09e9efa63ea9d61.jpeg;"Одеяло ""Байковые"", хлопок - 90%, ПАН - 10%"
;"Одеяло байковое";;;Ермолино;Россия;;"ОБ-100х140 57-5ЕТОЖ-красн";100х140;;;;;;;;;;;;;;;;;;;;;;Пакет;;;;470г/м;2000925531939;;Бирюзовый;;;"90% х/б+10%ПАН";"Красное Байковое  100х140  арт. 57-5ЕТОЖ 90% х/б  Ермолино одеяло";15;365;http://alvitek.com.ru/upload/iblock/8bb/8bb948550c25e1230e4c0df508001e68.jpeg;"Одеяло ""Байковые"", хлопок - 90%, ПАН - 10%"
