Размер;"Категория товара";Коллекция;"Вес изделия в упаковке";Бренд;"Страна производства";Линейка;Артикул;Размер;"Степень теплоты";"Степень поддержки";"Размер наволочек";"Размер пододеяльника";"Размер простыни";"Тип простыни";Высота;Наполнитель;"Наполнитель чехла";"Наполнитель ядра";"Вес наполнителя";"Вес наполнителя чехла";"Вес наполнителя ядра";Ткань;"Состав ткани";"Тип застежки";"Тип застежки наволочки";"Тип застежки пододеяльника";"Тип крепления";"Тип стежки";Окантовка;Упаковка;"Тип упаковки";"Количество в упаковке";Материал;Плотность;ШтрихКод;Производитель;Цвет;"Ткань верха";"Ткань низ";Состав;Номенклатура;Количество;Цена;Фото;Описание
;Одеяло;Сахара;;"AlViTek (АльВиТек)";Россия;Стандарт;ОТВ-О-15;140х205;Легкое;;;;;;;"Верблюжья шерсть,пэ";;;"200 гр/кв.м";;;"Тик импортный";"50% хлопок/50% полиэстр";;;;;"Многоигольная машина";"Косая бейка";"Сумка оригинальная";;;;;4607048018170;;Кремовый;;;;"ОТВ-О-15  Одеяло ""САХАРА-Стандарт"" 140х205 легкое";11;1256;http://alvitek.com.ru/upload/iblock/4d4/4d48f237355679b8814e530cbb5a13df.jpeg;"одеяло с наполнителем из верблюжьей шерсти 200 г/кв.м, чехол - тик импортный окантовка-косая бейка, бирка, постер, в сумке"
;Одеяло;Сахара;;"AlViTek (АльВиТек)";Россия;Стандарт;ОТВ-О-20;172х205;Легкое;;;;;;;"Верблюжья шерсть,пэ";;;"200 гр/кв.м";;;"Тик импортный";"50% хлопок/50% полиэстр";;;;;"Многоигольная машина";"Косая бейка";"Сумка оригинальная";;;;;4607048018187;;Кремовый;;;;"ОТВ-О-20  Одеяло ""САХАРА-Стандарт"" 172х205 легкое";7;1490;http://alvitek.com.ru/upload/iblock/f33/f335c08a640b07664141c1f4c7b1e7d9.jpeg;"одеяло с наполнителем из верблюжьей шерсти 200 г/кв.м, чехол - тик импортный окантовка-косая бейка, бирка, постер, в сумке"
;Одеяло;Сахара;;"AlViTek (АльВиТек)";Россия;Стандарт;ОТВ-О-22;200х220;Легкое;;;;;;;"Верблюжья шерсть,пэ";;;"200 гр/кв.м";;;"Тик импортный";"50% хлопок/50% полиэстр";;;;;"Многоигольная машина";"Косая бейка";"Сумка оригинальная";;;;;4607048018194;;Кремовый;;;;"ОТВ-О-22  Одеяло ""САХАРА-Стандарт"" 200х220 легкое";6;1860;http://alvitek.com.ru/upload/iblock/2db/2db1112df28e90fb357d227d2cd8764e.jpeg;"одеяло с наполнителем из верблюжьей шерсти 200 г/кв.м, чехол - тик импортный окантовка-косая бейка, бирка, постер, в сумке"
;Одеяло;"Овечья шерсть";;"AlViTek (АльВиТек)";Россия;Стандарт;ОТШ-15;140х205;Теплое;;;;;;;"Овечья шерсть,пэ";;;"300 гр/кв.м";;;"Тик импортный";"50% хлопок/50% полиэстр";;;;;"Одноигольная машина";"Кант атласный";"Сумка оригинальная";;;;;4607048018217;;;;;;"ОТШ-15  Одеяло ""ОВЕЧЬЯ ШЕРСТЬ- Стандарт"" 140х205 классическое-всесезонное";13;1211;http://alvitek.com.ru/upload/iblock/bc1/bc1ed350c13616da4df0641eb6ab9130.jpeg;"одеяло с наполнителем из овечьей шерсти 300 г/кв.м, чехол - тик импортный, кант, уголок, бирка, постер, в сумке"
;Одеяло;"Овечья шерсть";;"AlViTek (АльВиТек)";Россия;Стандарт;ОТШ-20;172х205;Теплое;;;;;;;"Овечья шерсть,пэ";;;"300 гр/кв.м";;;"Тик импортный";"50% хлопок/50% полиэстр";;;;;"Одноигольная машина";"Кант атласный";"Сумка оригинальная";;;;;4607048018224;;;;;;"ОТШ-20  Одеяло ""ОВЕЧЬЯ ШЕРСТЬ- Стандарт"" 172х205 классическое-всесезонное";8;1441;http://alvitek.com.ru/upload/iblock/153/153feee4d39a7cc51a6153f935790944.jpeg;"одеяло с наполнителем из овечьей шерсти 300 г/кв.м, чехол - тик импортный, кант, уголок, бирка, постер, в сумке"
;Одеяло;"Овечья шерсть";;"AlViTek (АльВиТек)";Россия;Стандарт;ОТШ-22;200х220;Теплое;;;;;;;"Овечья шерсть,пэ";;;"300 гр/кв.м";;;"Тик импортный";"50% хлопок/50% полиэстр";;;;;"Одноигольная машина";"Кант атласный";"Сумка оригинальная";;;;;4607048018231;;;;;;"ОТШ-22  Одеяло ""ОВЕЧЬЯ ШЕРСТЬ- Стандарт"" 200х220 классическое-всесезонное";8;1788;http://alvitek.com.ru/upload/iblock/4cd/4cd7fa68f2339f7573d9d863a325c072.jpeg;"одеяло с наполнителем из овечьей шерсти 300 г/кв.м, чехол - тик импортный, кант, уголок, бирка, постер, в сумке"
;Одеяло;"Овечья шерсть";;"AlViTek (АльВиТек)";Россия;Стандарт;ОТШ-О-15;140х205;Легкое;;;;;;;"Овечья шерсть,пэ";;;"200 гр/кв.м";;;"Тик импортный";"50% хлопок/50% полиэстр";;;;;"Многоигольная машина";"Косая бейка";"Сумка оригинальная";;;;;4607048018248;;;;;;"ОТШ-О-15  Одеяло ""ОВЕЧЬЯ ШЕРСТЬ- Стандарт"" 140х205 легкое";10;1211;http://alvitek.com.ru/upload/iblock/fe8/fe89259679a29939b5ef7be17f5722ca.jpeg;"одеяло с наполнителем из овечьей шерсти 200 г/кв.м, чехол - тик импортный, кант, уголок, бирка, постер, в сумке"
;Одеяло;"Овечья шерсть";;"AlViTek (АльВиТек)";Россия;Стандарт;ОТШ-О-20;172х205;Легкое;;;;;;;"Овечья шерсть,пэ";;;"200 гр/кв.м";;;"Тик импортный";"50% хлопок/50% полиэстр";;;;;"Многоигольная машина";"Косая бейка";"Сумка оригинальная";;;;;4607048018255;;;;;;"ОТШ-О-20  Одеяло ""ОВЕЧЬЯ ШЕРСТЬ- Стандарт"" 172х205 легкое";7;1441;http://alvitek.com.ru/upload/iblock/fde/fde6b0bf47bf8ac78ef466c19cfff292.jpeg;"одеяло с наполнителем из овечьей шерсти 200 г/кв.м, чехол - тик импортный, кант, уголок, бирка, постер, в сумке"
;Одеяло;"Овечья шерсть";;"AlViTek (АльВиТек)";Россия;Стандарт;ОТШ-О-22;200х220;Легкое;;;;;;;"Овечья шерсть,пэ";;;"200 гр/кв.м";;;"Тик импортный";"50% хлопок/50% полиэстр";;;;;"Многоигольная машина";"Косая бейка";"Сумка оригинальная";;;;;4607048018262;;;;;;"ОТШ-О-22  Одеяло ""ОВЕЧЬЯ ШЕРСТЬ- Стандарт"" 200х220легкое";8;1788;http://alvitek.com.ru/upload/iblock/20b/20babc16a95c231b0aef8ad456e2b2b5.jpeg;"одеяло с наполнителем из овечьей шерсти 200 г/кв.м, чехол - тик импортный, кант, уголок, бирка, постер, в сумке"
;Подушка;Бамбук;1,15кг;"AlViTek (АльВиТек)";Россия;Стандарт;ПСБ-050;50х68;;"Средняя-универсальная (молния)";;;;;;;"Бамбуковое волокно,пэ";"Искуственный ""Лебяжий пух""";;"150 гр/кв.м";"0,8 кг";Перкаль;"100% хлопок";Молния;;;;"Многоигольная машина";"Кант атласный";"Сумка оригинальная";;;;;4607048000052;;Салатовый;;;;"ПСБ-050 Подушка ""Бамбук"" 50х68";53;543;http://alvitek.com.ru/upload/iblock/645/645825115d806b50718eda4f99fa518a.jpeg;"подушка: стеганный чехол с молнией (наполнитель бамбуково волокно 150 г/кв.м, ткань 100% хлопок - сатин или перкаль), наполнитель ""Лебяжий пух"" (0,8 кг высокосиликонизированное микроволокно), кант атласный, уголок, флажок, бирка, постер в чемодане"
;Плед;Эльф;;Vladi;Украина;;Э-140-06-01;140х200;Легкое;;;;;;;;;;;;;;;;;;;;;"Сумка оригинальная";;;;;2000877289759;;;;;"70% овечья шерсть+30% ПЭ";"06-01 Сер.гол/т.сер/бел.красн 140х200 Эльф плед новозеланд. шерсть";2;1093;http://alvitek.com.ru/upload/iblock/631/631e14f9d57203138b9b3e2ff091ff7d.jpeg;
;Плед;Эльф;;Vladi;Украина;;"Э-200- 07-01";200х220;Легкое;;;;;;;;;;;;;;;;;;;;;"Сумка оригинальная";;;;;2000877289780;;;;;"70% овечья шерсть+30% ПЭ";"07-01 Бел/тер/кор/оранж  200х220 Эльф плед новозеланд. шерсть";12;1668;http://alvitek.com.ru/upload/iblock/a65/a65ea98baf83fd256ca8ae195901dc69.jpeg;
;Плед;Эльф;;Vladi;Украина;;"Э-200- 02-03";200х220;Легкое;;;;;;;;;;;;;;;;;;;;;"Сумка оригинальная";;;;;2000877289797;;;;;"70% овечья шерсть+30% ПЭ";"02-03 Бел/салат/зелен 200х220 Эльф плед новозеланд. шерсть";14;1668;http://alvitek.com.ru/upload/iblock/80c/80c85a617b7c344c3af7442c54e0b266.jpeg;
;Плед;Эльф;;Vladi;Украина;;"Э-200- 01-07";200х220;Легкое;;;;;;;;;;;;;;;;;;;;;"Сумка оригинальная";;;;;2000877289803;;;;;"70% овечья шерсть+30% ПЭ";"01-07 Желт/красн/бордо 200х220 Эльф плед новозеланд. шерсть";13;1668;http://alvitek.com.ru/upload/iblock/eab/eab5d6681db660392a94723e9fbeb790.jpeg;
;Плед;;;"Buenas Noches";Китай;;"Buenas Noches-150SV h1PI";150х200;;;;;;;;;;;;;;Вязаный;;;;;;;;"Прямоугольная ПВХ на молнии";;;;;2000925525419;;;;;"50% хлопок+30%пэ+20%пан";"SV h1 PI Розовый Вязаный 150 х200 плед Buenas Noches";5;1438;http://alvitek.com.ru/upload/iblock/323/323fd7072be8446095ca239e16b6df9f.jpeg;
;Подушка;"Для беременных";2,9кг;"AlViTek (АльВиТек)";Россия;Традиция;ПДБ-U340-ТЛ;340х35;;Средняя;;;;;;"Искусственный ""Лебяжий пух""";;;"2,6 кг";;;Тик;"100%  пэ";;;;;;"Кант атласный";"Сумка оригинальная";;;;;4607048011713;;Шампань;;;;"ПДБ-U340-ТЛ Подушка ""Для беременных U-340""";9;1124;http://alvitek.com.ru/upload/iblock/c6d/c6d600d20863e82ca8107c1c5e664070.jpeg;"Преимущества подушки для беременных U: одновременно поддерживает тело с двух сторон, что способствует  расслаблению спины; подушка для беременных помогает принять максимально удобное положение тела во время сна."
;Подушка;"Для беременных";2,7кг;"AlViTek (АльВиТек)";Россия;Традиция;ПДБ-U340-ТХ;340х35;;Средняя;;;;;;"Холфит-шарики (15dх64)";;;"1,9 кг";;;Тик;"100%  пэ";;;;;;"Кант атласный";"Сумка оригинальная";;;;;4607048011720;;Голубой;;;;"ПДБ-U340-ТХ Подушка ""Для беременных U-340""";5;852;http://alvitek.com.ru/upload/iblock/eca/eca2a22404891fb788dd39e1949cdbb7.jpeg;"Преимушества подушки для беременных U: одновременно поддерживает тело с двух сторон, что способствует  расслаблению спины; подушка для беременных помогает принять максимально удобное положение тела во время сна."
;Подушка;"Для беременных";3кг;"AlViTek (АльВиТек)";Россия;Традиция;ПДБ-U340-МЛ;340х35;;Средняя;;;;;;;"Бамбуковое волокно,пэ";"Искуственный ""Лебяжий пух""";;"100 гр/кв.м";"2,6 кг";Микрофибра;"100%  пэ";;;;;"Многоигольная машина";;"Сумка оригинальная";;;;;4607048011690;;Белый;;;;"ПДБ-U340-МЛ Подушка ""Для беременных Бамбук-U-340""";7;1179;http://alvitek.com.ru/upload/iblock/a2b/a2be276d8f6824dc087776f8202588d1.jpeg;"Купить подушку для беременных U рекомендовано женщинам начиная со II триместра беременности. Самый оптимальный вариант – подушка для беременных U-образной формы размером 340. Данный размер и форма позволяют занять удобное положение во время сна для головы, для живота, спины, поясницы и ног. Нет необходимости ночью переворачивать подушку. С каждой неделей будущим мамам становится все сложнее полноценно отдохнуть и расслабиться. Растущий живот давят на спину, поясницу , расширяются кости таза, увеличивается общая масса тела. Использование данной подушки полезно для Вашего здоровья и здоровья Вашего малыша."
;Подушка;"Для беременных";2,7кг;"AlViTek (АльВиТек)";Россия;Традиция;ПДБ-U340-МХ;340х35;;Средняя;;;;;;;"Бамбуковое волокно,пэ";"Холфит-шарики (15dх64)";;"100 гр/кв.м";"2 кг";Микрофибра;"100%  пэ";;;;;"Многоигольная машина";;"Сумка оригинальная";;;;;4607048011706;;Салатовый;;;;"ПДБ-U340-МХ Подушка ""Для беременных Бамбук-U-340""";4;924;http://alvitek.com.ru/upload/iblock/f40/f40200e7dd1497e539605f3e7621ccf6.jpeg;"В период ожидания малыша женщина сталкивается с достаточно сложным выбором – выбором подушки для беременных. Купить подушку для беременных становится проблематично, т.к в интернет-магазинах представлено многообразие изделий разных форм, размеров, наполнителей и цветов. Ищем: подушка для беременных отзывы – это подушка U-Образной формы 340. Она выполнена из гипоалергенных материалов, поэтому полностью безопасна для Вас и Вашего малыша. Хорошо набита, легка, долго сохраняет свои первоначальные свойства и форму. Разработана в соответствии с анатомическими особенностями беременной женщины, что позволяет удобно отдохнуть, снять напряжение в мышцах и суставах, улучшить кровообращение. Подушка для беременных  многофункциональна. Рекомендована для беременных женщин и кормящих матерей. Также, вы можете удобно устроить между валиками Вашего малыша, разместив его на диване или в кроватке, создав новорожденному боле комфортное и безопасное расположение."
;"Комплект постельного белья";;;СайлиД;Китай;;B-15-164;Полутороспальное;;;"70х70 (2шт.)";150х215;160х220;Обычная;;;;;;;;Сатин;"100% хлопок";;Прорезь(запах);Молния;;;;"Квадратная ПВХ";;;;;2000925514253;;;;;;"B-164 КПБ 1,5сп сатин ""САЙЛИД""";2;1854;http://alvitek.com.ru/upload/iblock/0bf/0bf07668b306e32891b551ecaac9c49c.jpeg;
;"Комплект постельного белья";;;СайлиД;Китай;;B-15-165;Полутороспальное;;;"70х70 (2шт.)";150х215;160х220;Обычная;;;;;;;;Сатин;"100% хлопок";;Прорезь(запах);Молния;;;;"Квадратная ПВХ";;;;;2000925514260;;;;;;"B-165 КПБ 1,5сп сатин ""САЙЛИД""";1;1854;http://alvitek.com.ru/upload/iblock/7b0/7b0ea3107b38e8311bc61a84faf64f8e.jpeg;
;"Комплект постельного белья";;;СайлиД;Китай;;B-15-166;Полутороспальное;;;"70х70 (2шт.)";150х215;160х220;Обычная;;;;;;;;Сатин;"100% хлопок";;Прорезь(запах);Молния;;;;"Квадратная ПВХ";;;;;2000925514277;;;;;;"B-166 КПБ 1,5сп сатин ""САЙЛИД""";3;1854;http://alvitek.com.ru/upload/iblock/080/080f05b0d4870f3194a74888119cb26f.jpeg;
;"Комплект постельного белья";;;СайлиД;Китай;;B-15-167;Полутороспальное;;;"70х70 (2шт.)";150х215;160х220;Обычная;;;;;;;;Сатин;"100% хлопок";;Прорезь(запах);Молния;;;;"Квадратная ПВХ";;;;;2000925514284;;;;;;"B-167 КПБ 1,5сп сатин ""САЙЛИД""";1;1854;http://alvitek.com.ru/upload/iblock/2bb/2bbaa23af3f74d97404a3813ea147480.jpeg;
;"Комплект постельного белья";;;СайлиД;Китай;;B-15-168;Полутороспальное;;;"70х70 (2шт.)";150х215;160х220;Обычная;;;;;;;;Сатин;"100% хлопок";;Прорезь(запах);Молния;;;;"Квадратная ПВХ";;;;;2000925514291;;;;;;"B-168 КПБ 1,5сп сатин ""САЙЛИД""";3;1854;http://alvitek.com.ru/upload/iblock/1d4/1d4bae6af4b5a40cbcbc4d0bc6749e90.jpeg;
;"Комплект постельного белья";;;СайлиД;Китай;;B-15-169;Полутороспальное;;;"70х70 (2шт.)";150х215;160х220;Обычная;;;;;;;;Сатин;"100% хлопок";;Прорезь(запах);Молния;;;;"Квадратная ПВХ";;;;;2000925514307;;;;;;"B-169 КПБ 1,5сп сатин ""САЙЛИД""";2;1854;http://alvitek.com.ru/upload/iblock/1f8/1f845df41be06ad9979032594787ba27.jpeg;
;"Комплект постельного белья";;;СайлиД;Китай;;B-15-172;Полутороспальное;;;"70х70 (2шт.)";150х215;160х220;Обычная;;;;;;;;Сатин;"100% хлопок";;Прорезь(запах);Молния;;;;"Квадратная ПВХ";;;;;2000925514321;;;;;;"B-172 КПБ 1,5сп сатин ""САЙЛИД""";1;1854;http://alvitek.com.ru/upload/iblock/33d/33d9cb1daf2b788d1d55e810fb699398.jpeg;
;"Комплект постельного белья";;;СайлиД;Китай;;В-20-164;Двуспальное;;;"50х70 (2шт.)+70х70 (2шт.)";180х215;220х250;Обычная;;;;;;;;Сатин;"100% хлопок";;Прорезь(запах);Молния;;;;"Квадратная ПВХ";;;;;2000925514345;;;;;;"B-164 КПБ 2сп сатин ""САЙЛИД""";1;2415;http://alvitek.com.ru/upload/iblock/3bd/3bdd1fce99bfcbafeae36ff09056609d.jpeg;
;"Комплект постельного белья";;;СайлиД;Китай;;В-20-165;Двуспальное;;;"50х70 (2шт.)+70х70 (2шт.)";180х215;220х250;Обычная;;;;;;;;Сатин;"100% хлопок";;Прорезь(запах);Молния;;;;"Квадратная ПВХ";;;;;2000925514352;;;;;;"B-165 КПБ 2сп сатин ""САЙЛИД""";3;2415;http://alvitek.com.ru/upload/iblock/90a/90a8aa9c4ff8c633df3b789501461126.jpeg;
;"Комплект постельного белья";;;СайлиД;Китай;;В-20-166;Двуспальное;;;"50х70 (2шт.)+70х70 (2шт.)";180х215;220х250;Обычная;;;;;;;;Сатин;"100% хлопок";;Прорезь(запах);Молния;;;;"Квадратная ПВХ";;;;;2000925514369;;;;;;"B-166 КПБ 2сп сатин ""САЙЛИД""";3;2415;http://alvitek.com.ru/upload/iblock/c5a/c5a05f216c6073629531ee0483e2441f.jpeg;
;"Комплект постельного белья";;;СайлиД;Китай;;В-20-167;Двуспальное;;;"50х70 (2шт.)+70х70 (2шт.)";180х215;220х250;Обычная;;;;;;;;Сатин;"100% хлопок";;Прорезь(запах);Молния;;;;"Квадратная ПВХ";;;;;2000925514376;;;;;;"B-167 КПБ 2сп сатин ""САЙЛИД""";1;2415;http://alvitek.com.ru/upload/iblock/db1/db16cd588aa13f8334b510c148bbdd08.jpeg;
;"Комплект постельного белья";;;СайлиД;Китай;;В-22-163;Евро;;;"50х70 (2шт.)+70х70 (2шт.)";200х220;230х250;Обычная;;;;;;;;Сатин;"100% хлопок";;Прорезь(запах);Молния;;;;"Квадратная ПВХ";;;;;2000925514420;;;;;;"B-163 КПБ евро сатин ""САЙЛИД""";1;2724;http://alvitek.com.ru/upload/iblock/8f5/8f5e327a4efebdc16676b6129e4821fc.jpeg;
;"Комплект постельного белья";;;СайлиД;Китай;;В-22-164;Евро;;;"50х70 (2шт.)+70х70 (2шт.)";200х220;230х250;Обычная;;;;;;;;Сатин;"100% хлопок";;Прорезь(запах);Молния;;;;"Квадратная ПВХ";;;;;2000925514437;;;;;;"B-164 КПБ евро сатин ""САЙЛИД""";3;2724;http://alvitek.com.ru/upload/iblock/4e4/4e4e31f9b9ec58932f4700b6198d9b17.jpeg;
;"Комплект постельного белья";;;СайлиД;Китай;;В-22-165;Евро;;;"50х70 (2шт.)+70х70 (2шт.)";200х220;230х250;Обычная;;;;;;;;Сатин;"100% хлопок";;Прорезь(запах);Молния;;;;"Квадратная ПВХ";;;;;2000925514444;;;;;;"B-165 КПБ евро сатин ""САЙЛИД""";3;2724;http://alvitek.com.ru/upload/iblock/fa9/fa95d974dd0e62f9aa9ccb0282f1b873.jpeg;
;"Комплект постельного белья";;;СайлиД;Китай;;В-22-166;Евро;;;"50х70 (2шт.)+70х70 (2шт.)";200х220;230х250;Обычная;;;;;;;;Сатин;"100% хлопок";;Прорезь(запах);Молния;;;;"Квадратная ПВХ";;;;;2000925514451;;;;;;"B-166 КПБ евро сатин ""САЙЛИД""";3;2724;http://alvitek.com.ru/upload/iblock/e18/e18d4f257320d0c506e8014367e2a307.jpeg;
;"Комплект постельного белья";;;СайлиД;Китай;;В-22-167;Евро;;;"50х70 (2шт.)+70х70 (2шт.)";200х220;230х250;Обычная;;;;;;;;Сатин;"100% хлопок";;Прорезь(запах);Молния;;;;"Квадратная ПВХ";;;;;2000925514468;;;;;;"B-167 КПБ евро сатин ""САЙЛИД""";2;2724;http://alvitek.com.ru/upload/iblock/0f5/0f56e08d056a087fed56b6a0bc4ae016.jpeg;
;"Комплект постельного белья";;;СайлиД;Китай;;В-22-168;Евро;;;"50х70 (2шт.)+70х70 (2шт.)";200х220;230х250;Обычная;;;;;;;;Сатин;"100% хлопок";;Прорезь(запах);Молния;;;;"Квадратная ПВХ";;;;;2000925514475;;;;;;"B-168 КПБ евро сатин ""САЙЛИД""";3;2724;http://alvitek.com.ru/upload/iblock/f27/f275b466ac3eaac4899fb9b04643018e.jpeg;
;"Комплект постельного белья";;;СайлиД;Китай;;В-22-172;Евро;;;"50х70 (2шт.)+70х70 (2шт.)";200х220;230х250;Обычная;;;;;;;;Сатин;"100% хлопок";;Прорезь(запах);Молния;;;;"Квадратная ПВХ";;;;;2000925514505;;;;;;"B-172 КПБ евро сатин ""САЙЛИД""";1;2724;http://alvitek.com.ru/upload/iblock/4f3/4f33a8b788d532def944b3f6872ef51f.jpeg;
;"Комплект постельного белья";;;СайлиД;Китай;;В-26-165;"Семейное (2 пододеяльника)";;;"50х70 (2шт.)+70х70 (2шт.)";150х215-2шт.;250х250;Обычная;;;;;;;;Сатин;"100% хлопок";;Прорезь(запах);Молния;;;;"Квадратная ПВХ";;;;;2000925514536;;;;;;"B-165 КПБ семейный сатин ""САЙЛИД""";2;3206;http://alvitek.com.ru/upload/iblock/4c4/4c4b6a8c23fc16b4882ad7cfef0301c1.jpeg;
;Покрывало;;;Марианна;Россия;;"П-ло 250- Элит+Мех-11";230х250;;;;;;;;;;;;;;"Полисатин+Мех Микроплюш";"100%  пэ";;;;;Ультрастеп;;"Сумка оригинальная";;;;;2000925546605;;;;;;"11 250х230 Элит+Мех Однотонное комбинированное ультрастеп Покрывало  Марианна";12;1070;http://alvitek.com.ru/upload/iblock/6ad/6adf13f90024536933ed8de63c7af0dc.jpeg;
;Покрывало;;;Марианна;Россия;;"П-ло 250- Элит+Мех-18";230х250;;;;;;;;;;;;;;"Полисатин+Мех Микроплюш";"100%  пэ";;;;;Ультрастеп;;"Сумка оригинальная";;;;;2000925546629;;;;;;"18 250х230 Элит+Мех Однотонное комбинированное ультрастеп Покрывало  Марианна";6;1070;http://alvitek.com.ru/upload/iblock/38a/38abbf00f5863930481903ced63f00ec.jpeg;
;Покрывало;;;Марианна;Россия;;П-ло-шелк-230-Азиза;230х250;;;;;;;;;;;;;;"Искуственный шелк";"100%  пэ";;;;;Ультрастеп;Бейка;"Сумка оригинальная";;;;;2000925546551;;;;;;"Азиза 230х250 шелк искуственный 3D Покрывало ""Марианна""";2;662;http://alvitek.com.ru/upload/iblock/9df/9dfee374c840f816d3a845c4e18c2908.jpeg;
;Покрывало;;;Марианна;Россия;;П-ло-шелк-230-Аэлита;230х250;;;;;;;;;;;;;;"Искуственный шелк";"100%  пэ";;;;;Ультрастеп;Бейка;"Сумка оригинальная";;;;;2000925546575;;;;;;"Аэлита 230х250 шелк искуственный 3D Покрывало ""Марианна""";7;662;http://alvitek.com.ru/upload/iblock/8c2/8c2b3770b8db7f74e087f2f3468e62fe.jpeg;
;Покрывало;;;Марианна;Россия;;П-ло-шелк-230-Вдохновение;230х250;;;;;;;;;;;;;;"Искуственный шелк";"100%  пэ";;;;;Ультрастеп;Бейка;"Сумка оригинальная";;;;;2000925546582;;;;;;"Вдохновение 230х250 шелк искуственный 3D Покрывало ""Марианна""";3;662;http://alvitek.com.ru/upload/iblock/0f3/0f36074bd795515ad02eb791c29f3c59.jpeg;
;Покрывало;;;Марианна;Россия;;П-ло-шелк-230-Прада;230х250;;;;;;;;;;;;;;"Искуственный шелк";"100%  пэ";;;;;Ультрастеп;Бейка;"Сумка оригинальная";;;;;2000925546599;;;;;;"Прада 230х250 шелк искуственный 3D Покрывало ""Марианна""";4;662;http://alvitek.com.ru/upload/iblock/19c/19ca0e4e0c493519d0f01bb3da89128b.jpeg;
;Одеяло;"Овечья шерсть";;"AlViTek (АльВиТек)";Россия;Стандарт;ОПШ-20;172х205;Теплое;;;;;;;"Овечья шерсть,пэ";;;"400 гр/кв.м";;;Поликоттон;"70% хлопок/30% полиэстр";;;;;"Одноигольная машина";Кант;"Сумка оригинальная";;;;;4607048001875;;"Набивной рисунок,может отличаться от цвета на фото";;;;"ОПШ-20  Одеяло 172х205 классическое";15;1126;http://alvitek.com.ru/upload/iblock/6e0/6e0111b178c2c134be6fd74b0df2e96e.jpeg;"одеяло с наполнителем из овечьей шерсти 400 г/кв.м, чехол - ткань смесовая (поликоттон; 70% - хлопок/30% - полиэстер; 120 г/кв.м) , кант, уголок, бирка, постер, в чемодане"
;"Простыня на резинке";"Простыня трикотажная на резинке";;"AlViTek (АльВиТек)";Россия;Стандарт;ПТР-Пе-090;090х200+20;;;;;;"На резинке";;;;;;;;Трикотаж;"100% хлопок";;;;Резинка;;;"Прямоугольная ПВХ";;;;120г/м;2000925548289;;Персик;;;;"ПТР-Пе-090  Персик простыня трикотажная на резинке 090х200х20";12;350;http://alvitek.com.ru/upload/iblock/911/91152cc5a59fb0fac728c0fba325c6a2.jpeg;
;"Простыня на резинке";"Простыня трикотажная на резинке";;"AlViTek (АльВиТек)";Россия;Стандарт;ПТР-К-090;090х200+20;;;;;;"На резинке";;;;;;;;Трикотаж;"100% хлопок";;;;Резинка;;;"Прямоугольная ПВХ";;;;120г/м;2000925548272;;Коралловый;;;;"ПТР-К-090  Коралл простыня трикотажная на резинке 090х200х20";14;350;http://alvitek.com.ru/upload/iblock/24a/24a54718fcd1b630c34b3730afa26284.jpeg;
;Одеяло;Сахара;;"AlViTek (АльВиТек)";Россия;Люкс;ОВШ-22;200х220;"Очень теплое";;;;;;;"Верблюжья шерсть,пэ";;;"400 гр/кв.м";;;Тик;"100% хлопок";;;;;"Одноигольная машина";"Кант атласный";"Сумка оригинальная";;;;;4607048003565;;Кремовый;;;;"ОВШ-22  Одеяло"" САХАРА"" 200х220 классическое";28;2539;http://alvitek.com.ru/upload/iblock/196/196001e3d698045b7786592dd495be1f.jpeg;"одеяло с наполнителем из верблюжьей шерсти 400 г/кв.м, чехол (100% хлопок) - ткань тик пуходержащий, кант - атласный, уголок, бирка, флажок, постер, в чемодане"
;Наматрасник;"Овечья шерсть";;"AlViTek (АльВиТек)";Россия;Комфорт;НШ-070;70х200;;;;;;;;"Овечья шерсть,пэ";;;"200 гр/кв.м";;;Полисатин;"100%  пэ";;;;Резинка;"Многоигольная машина";"Бейка ПЭ";"Пакет с ручкой";;;;;4607048003947;;"Набивной рисунок,может отличаться от цвета на фото";;;;"НШ-070  Наматрасник с резинкой ""Шерсть-Традиция"" 70х200";4;278;http://alvitek.com.ru/upload/iblock/06d/06d5129ba58fd2e8839b12dae4fe17f6.jpeg;"наматрасник на резинке с наполнителем с овечьей шерстью 200 г/кв.м, чехол - ткань 100% ПЭ, окантовка- бейка ПЭ, бирка, постер, в пакете с ручкой"
;Полотенце;;;Pupilla;Турция;;PUPILLA-8906;50х90;;;;;;;;;;;;;;Махра;"100% хлопок";;;;;;;"Прямоугольная ПВХ на молнии";;"6 шт.";;480г/м;2000925503530;;;;;;"8906  LINA Полотенце Хлопок 50х90 ( 6шт )  Полотенце PUPILLA";1;1558;http://alvitek.com.ru/upload/iblock/cfe/cfeb47999388ab808459b7990fd60620.jpeg;
;"Набор полотенец";;;"Атлас Текстиль";Турция;;"Спорт махра из 2-х в к-бе";50х90+70х140;;;;;;;;;;;;;;Махра;"100% хлопок";;;;;;;Коробка;;"2 шт.";;480г/м;2000900100617;;;;;;"Бежевый Спорт махра 450гр (50х90,70х140)  в коробке Атлас";3;587;http://alvitek.com.ru/upload/iblock/198/19812108d7f851bf67b6bb191ac1338a.jpeg;
